year,size,surv,sizeNext,fec0,fec1,stage,stageNext,offspringNext,number,cloning,clonesNext
2015,44,1,42.1,0,,continuous,continuous,,1,0,
2015,41.5,1,39.1,0,,continuous,continuous,,1,0,
2015,73.5,1,69.2,1,2,continuous,continuous,,1,0,
2015,80.6,1,77.9,0,,continuous,continuous,,1,0,
2015,12.3,1,11.2,0,,continuous,continuous,,1,0,
2015,68.6,1,66.2,0,,continuous,continuous,,1,0,
2015,70.3,1,67.5,0,,continuous,continuous,,1,0,
2015,38.1,0,,0,,continuous,dead,,1,0,
2015,43.2,1,42.3,0,,continuous,continuous,,1,0,
2015,62.6,1,62.2,0,,continuous,continuous,,1,0,
2015,54.6,1,55.2,0,,continuous,continuous,,1,0,
2015,47,1,47,0,,continuous,continuous,,1,0,
2015,56.1,1,56.8,0,,continuous,continuous,,1,0,
2015,42.4,1,42.2,0,,continuous,continuous,,1,0,
2015,74,1,74,0,,continuous,continuous,,1,0,
2015,13.1,1,13.1,1,1,continuous,continuous,,1,0,
2015,8.1,1,10,0,,continuous,continuous,,1,0,
2015,47.3,1,45.2,0,,continuous,continuous,,1,0,
2015,66.3,1,64.3,0,,continuous,continuous,,1,0,
2015,49,1,45.4,0,,continuous,continuous,,1,0,
2015,48.5,1,47,0,,continuous,continuous,,1,0,
2015,38.1,1,36.8,0,,continuous,continuous,,1,0,
2015,55.6,1,49,1,2,continuous,continuous,,1,0,
2015,76,1,74,0,,continuous,continuous,,1,0,
2015,30.5,1,29.7,1,1,continuous,continuous,,1,0,
2015,42.3,1,41,1,2,continuous,continuous,,1,0,
2015,50.8,1,49.7,0,,continuous,continuous,,1,0,
2015,54.6,1,56,0,,continuous,continuous,,1,0,
2015,63.3,1,60,0,,continuous,continuous,,1,0,
2015,10,1,10,0,,continuous,continuous,,1,0,
2015,31.4,1,30.6,0,,continuous,continuous,,1,0,
2015,77.8,1,77.2,0,,continuous,continuous,,1,0,
2015,60,1,56.7,0,,continuous,continuous,,1,0,
2015,63,1,59.5,0,,continuous,continuous,,1,0,
2015,74.6,0,,0,,continuous,dead,,1,0,
2015,50.3,1,47,0,,continuous,continuous,,1,0,
2015,37.8,1,37.6,1,2,continuous,continuous,,1,0,
2015,105,1,105,0,,continuous,continuous,,1,0,
2015,9,1,9,0,,continuous,continuous,,1,0,
2015,7,1,7,0,,continuous,continuous,,1,0,
2015,70,1,67.4,1,3,continuous,continuous,,1,0,
2015,24.6,1,24.6,0,,continuous,continuous,,1,0,
2015,37.1,1,34.6,0,,continuous,continuous,,1,0,
2015,54.1,1,50.5,0,,continuous,continuous,,1,0,
2015,39.3,1,37.3,0,,continuous,continuous,,1,0,
2015,12.2,1,11.6,0,,continuous,continuous,,1,0,
2015,15.7,1,12.3,0,,continuous,continuous,,1,0,
2015,5.2,1,9,0,,continuous,continuous,,1,0,
2015,65.7,1,63.2,0,,continuous,continuous,,1,0,
2015,50.7,1,47,0,,continuous,continuous,,1,0,
2015,44,1,43,0,,continuous,continuous,,1,0,
2015,25.9,1,25.9,0,,continuous,continuous,,1,0,
2015,66.5,1,63.4,0,,continuous,continuous,,1,0,
2015,30.9,1,28.3,0,,continuous,continuous,,1,0,
2015,22.9,1,20.2,0,,continuous,continuous,,1,0,
2015,53.6,1,54.2,0,,continuous,continuous,,1,0,
2015,49.3,1,47.5,0,,continuous,continuous,,1,0,
2015,42.4,1,39.3,0,,continuous,continuous,,1,0,
2015,71.2,1,63.7,0,,continuous,continuous,,1,0,
2015,71.7,1,66.7,0,,continuous,continuous,,1,0,
2015,60.4,1,52.6,1,1,continuous,continuous,,1,0,
2015,56.7,1,54,0,,continuous,continuous,,1,0,
2015,74.6,1,66.5,0,,continuous,continuous,,1,0,
2015,94.1,1,93,0,,continuous,continuous,,1,0,
2015,35,1,42.4,0,,continuous,continuous,,1,0,
2015,48.6,1,48.4,0,,continuous,continuous,,1,0,
2015,45.2,1,46.1,1,6,continuous,continuous,,1,0,
2015,87.7,1,86,0,,continuous,continuous,,1,0,
2015,89.2,1,89.2,0,,continuous,continuous,,1,0,
2015,85.4,1,83.3,0,,continuous,continuous,,1,0,
2015,30.2,1,29.5,0,,continuous,continuous,,1,0,
2015,57.5,1,57,0,,continuous,continuous,,1,0,
2015,101,1,101,1,38,continuous,continuous,,1,0,
2015,17.2,1,17.2,0,,continuous,continuous,,1,0,
2015,25,1,25,0,,continuous,continuous,,1,0,
