year,size,surv,sizeNext,fec0,fec1,stage,stageNext,offspringNext,number,cloning,clonesNext
2015,34.3,1,34.3,1,1,continuos,continuos,,,,
2015,29.1,1,29.5,1,1,continuos,continuos,,,,
2015,21.3,1,21.3,0,,continuos,continuos,,,,
2015,29.1,1,32.5,0,,continuos,continuos,,,,
2015,32,1,32.7,0,,continuos,continuos,,,,
2015,34.1,1,32.7,0,,continuos,continuos,,,,
2015,27.4,1,35,0,,continuos,continuos,,,,
2015,10,1,8.5,0,,continuos,continuos,,,,
2015,41.7,1,41.7,1,10,continuos,continuos,,,,
2015,22.7,1,25,0,,continuos,continuos,,,,
2015,9.2,1,10.1,0,,continuos,continuos,,,,
2015,22.5,1,23.3,0,,continuos,continuos,,,,
2015,47.1,1,47.1,1,12,continuos,continuos,,,,
2015,17.3,1,17.3,0,,continuos,continuos,,,,
2015,18.7,1,18.7,0,,continuos,continuos,,,,
2015,8.7,1,8.7,0,,continuos,continuos,,,,
2015,25,1,25,0,,continuos,continuos,,,,
2015,17,1,17.5,0,,continuos,continuos,,,,
2015,8.5,1,8.5,0,,continuos,continuos,,,,
2015,29.2,1,29.9,0,,continuos,continuos,,,,
2015,29.3,1,29,0,,continuos,continuos,,,,
2015,13.7,1,15.2,0,,continuos,continuos,,,,
2015,18.5,1,18.7,0,,continuos,continuos,,,,
2015,9.9,1,9.9,0,,continuos,continuos,,,,
2015,33,1,30.1,0,,continuos,continuos,,,,
2015,38,1,38.2,0,,continuos,continuos,,,,
2015,19.2,1,18,0,,continuos,continuos,,,,
2015,50,1,48.8,1,26,continuos,continuos,,,,
2015,44.5,1,45.5,1,15,continuos,continuos,,,,
2015,16,1,16,0,,continuos,continuos,,,,
2015,19,1,16.5,0,,continuos,continuos,,,,
2015,9.9,1,15.4,0,,continuos,continuos,,,,
2015,8.7,1,9.5,0,,continuos,continuos,,,,
2015,27.4,1,26.8,0,,continuos,continuos,,,,
2015,11,1,12,0,,continuos,continuos,,,,
2015,12,1,11.4,0,,continuos,continuos,,,,
2015,36.6,1,36.6,0,,continuos,continuos,,,,
2015,15.3,1,15.3,0,,continuos,continuos,,,,
2015,21.8,1,21.8,0,,continuos,continuos,,,,
2015,18.4,1,18.4,0,,continuos,continuos,,,,
2015,17.9,1,17.9,0,,continuos,continuos,,,,
2015,10.7,1,10.7,0,,continuos,continuos,,,,
2015,14,1,14,0,,continuos,continuos,,,,
2015,24.9,1,24.9,0,,continuos,continuos,,,,
2015,,,4.5,0,,,continuos,,,,
2015,20.7,1,20.7,0,,continuos,continuos,,,,
2015,17.7,1,17.7,0,,continuos,continuos,,,,
2015,22,1,22,0,,continuos,continuos,,,,
2015,25.6,1,25.6,0,,continuos,continuos,,,,
2015,25.8,1,25.8,0,,continuos,continuos,,,,
2015,15.5,1,15.5,0,,continuos,continuos,,,,
2015,15,1,15,0,,continuos,continuos,,,,
2015,,,12,0,,,continuos,,,,
2015,15.3,1,15.3,0,,continuos,continuos,,,,
2015,,,6.6,0,,,continuos,,,,
2015,43.5,1,43,1,15,continuos,continuos,,,,
2015,34.3,1,36,0,,continuos,continuos,,,,
2015,41.7,1,40.1,0,,continuos,continuos,,,,
2015,,,6.4,0,,,continuos,,,,
2015,34.5,1,41.5,0,,continuos,continuos,,,,
2015,16,1,16,0,,continuos,continuos,,,,
2015,24,1,27.3,0,,continuos,continuos,,,,
2015,29.5,1,27.3,0,,continuos,continuos,,,,
2015,44.1,1,44.1,1,9,continuos,continuos,,,,
2015,14,1,14,0,,continuos,continuos,,,,
2015,,,6,0,,,continuos,,,,
2015,,,5,0,,,continuos,,,,
2015,34.8,1,28,0,,continuos,continuos,,,,
2015,40.5,1,41.3,1,4,continuos,continuos,,,,
2015,33.1,1,24.2,0,,continuos,continuos,,,,
2015,47.1,1,45,1,12,continuos,continuos,,,,
2015,27,1,35,0,,continuos,continuos,,,,
2015,18,1,20,0,,continuos,continuos,,,,
2015,17.3,1,19.3,0,,continuos,continuos,,,,
2015,10,1,15.4,0,,continuos,continuos,,,,
2015,38,1,38,0,,continuos,continuos,,,,
2015,33.8,1,30,0,,continuos,continuos,,,,
2015,10.1,1,15,0,,continuos,continuos,,,,
2015,49.1,1,46.3,1,16,continuos,continuos,,,,
2015,55,1,54.1,1,10,continuos,continuos,,,,
2015,9.9,1,12,0,,continuos,continuos,,,,
2015,45.6,1,42.5,1,6,continuos,continuos,,,,
2015,29.2,1,28.6,0,,continuos,continuos,,,,
2015,36,1,38.9,1,10,continuos,continuos,,,,
2015,,,5.3,0,,,continuos,,,,
2015,41.7,1,41.7,0,,continuos,continuos,,,,
2015,40.7,1,33.1,1,6,continuos,continuos,,,,
2015,15.3,1,15,0,,continuos,continuos,,,,
2015,19.6,1,20.1,0,,continuos,continuos,,,,
2015,39.4,1,40.5,1,14,continuos,continuos,,,,
2015,21.5,1,22.4,0,,continuos,continuos,,,,
2015,20.4,1,21.7,0,,continuos,continuos,,,,
2015,45.9,1,43.1,1,16,continuos,continuos,,,,
2015,15.3,1,15.2,0,,continuos,continuos,,,,
2015,25.2,1,25,0,,continuos,continuos,,,,
2015,28.7,1,28.7,0,,continuos,continuos,,,,
2015,11.9,1,11.9,0,,continuos,continuos,,,,
2015,10.1,1,10.1,0,,continuos,continuos,,,,
2015,,,8,0,,,continuos,,,,
2015,9.5,1,9.5,0,,continuos,continuos,,,,
2015,11,1,11,0,,continuos,continuos,,,,
2015,20,1,20,0,,continuos,continuos,,,,
2015,19,1,19,0,,continuos,continuos,,,,
2015,,,5,0,,,continuos,,,,
2015,16,1,16,0,,continuos,continuos,,,,
2015,19,1,19,0,,,continuos,,,,
2015,52.2,1,53.4,1,7,continuos,continuos,,,,
2015,47.7,1,49.3,1,21,continuos,continuos,,,,
2015,30.5,1,41.8,0,,continuos,continuos,,,,
2015,43.4,1,,1,5,continuos,continuos,,,,
2015,40.1,1,,1,2,continuos,continuos,,,,
2015,25.6,1,27,0,,continuos,continuos,,,,
2015,14,1,16,0,,continuos,continuos,,,,
2015,46.8,1,47.6,1,24,continuos,continuos,,,,
2015,29.7,1,31.4,1,18,continuos,continuos,,,,
2015,40.8,1,40,1,9,continuos,continuos,,,,
2015,10.1,1,15.2,0,,continuos,continuos,,,,
2015,50.6,1,50.6,1,1,continuos,continuos,,,,
2015,45.5,1,45.5,1,14,continuos,continuos,,,,
2015,7.7,1,11,0,,continuos,continuos,,,,
2015,41.7,1,41.7,1,2,continuos,continuos,,,,
2015,22.1,1,22.1,0,,continuos,continuos,,,,
2015,10.1,1,10.1,0,,continuos,continuos,,,,
2015,11.5,1,11.5,0,,continuos,continuos,,,,
2015,,,8.6,0,,,continuos,,,,
2015,,,5.5,0,,,continuos,,,,
2015,11.4,1,11.4,0,,continuos,continuos,,,,
2015,7.8,1,7.8,0,,continuos,continuos,,,,
2015,7.7,1,7.7,0,,continuos,continuos,,,,
2015,8.9,1,8.9,0,,continuos,continuos,,,,
2015,,,7.9,0,,,continuos,,,,
2015,,,5.6,0,,,continuos,,,,
2015,35,1,34.5,1,6,continuos,continuos,,,,
2015,17.5,1,17.5,0,,continuos,continuos,,,,
2015,8.7,1,11,0,,continuos,continuos,,,,
2015,38.3,1,38.2,1,2,continuos,continuos,,,,
2015,16.2,1,15.6,0,,continuos,continuos,,,,
2015,8,1,11,0,,continuos,continuos,,,,
2015,11,1,12,0,,continuos,continuos,,,,
2015,8.7,1,9.5,0,,continuos,continuos,,,,
2015,35.3,1,37.9,1,4,continuos,continuos,,,,
2015,24.3,1,27.1,0,,continuos,continuos,,,,
2015,32.5,1,32.5,0,,continuos,continuos,,,,
2015,53,1,55.2,1,15,continuos,continuos,,,,
2015,21,1,30,0,,continuos,continuos,,,,
2015,43.2,1,43.5,1,7,continuos,continuos,,,,
2015,29.2,1,28.5,0,,continuos,continuos,,,,
2015,17.3,1,16.5,0,,continuos,continuos,,,,
2015,30,1,32.5,0,,continuos,continuos,,,,
2015,9,1,9,0,,continuos,continuos,,,,
2015,37.4,1,39.1,1,7,continuos,continuos,,,,
2015,14.9,1,16.5,0,,continuos,continuos,,,,
2015,9,1,10,0,,continuos,continuos,,,,
2015,20.9,1,23.5,0,,continuos,continuos,,,,
