year,size,surv,sizeNext,fec0,fec1,stage,stageNext,offspringNext,number,cloning,clonesNext
2015,38.3,1,38.7,0,,continuous,continuous,,1,0,
2015,30.1,1,30,0,,continuous,continuous,,1,0,
2015,76.4,1,65.7,0,,continuous,continuous,,1,0,
2015,95.8,1,88,0,,continuous,continuous,,1,0,
2015,59.9,1,19.3,1,26,continuous,continuous,,1,0,
2015,48.5,1,46.5,1,11,continuous,continuous,,1,0,
2015,69,1,65.5,1,15,continuous,continuous,,1,0,
2015,45.4,1,45.2,1,8,continuous,continuous,,1,0,
2015,53,1,51.3,1,12,continuous,continuous,,1,0,
2015,75.9,1,73.6,1,12,continuous,continuous,,1,0,
2015,73.8,1,45.2,1,9,continuous,continuous,,1,0,
2015,79.2,1,77,1,29,continuous,continuous,,1,0,
2015,55.3,1,55.7,1,22,continuous,continuous,,1,0,
2015,65,1,36.9,1,31,continuous,continuous,,1,0,
2015,38,1,35.7,1,3,continuous,continuous,,1,0,
2015,51.6,1,50,1,4,continuous,continuous,,1,0,
2015,7.5,1,8,0,,continuous,continuous,,1,0,
2015,3,1,13,0,,continuous,continuous,,1,0,
2015,28.9,1,26,0,,continuous,continuous,,1,0,
2015,67.4,1,65.2,1,6,continuous,continuous,,1,0,
2015,28,1,25.9,0,,continuous,continuous,,1,0,
2015,55.5,1,52.4,1,4,continuous,continuous,,1,0,
2015,75.2,1,71.2,1,15,continuous,continuous,,1,0,
2015,80.7,1,79.2,1,22,continuous,continuous,,1,0,
2015,65,1,62.5,1,11,continuous,continuous,,1,0,
2015,88.5,1,88.2,1,18,continuous,continuous,,1,0,
2015,50.6,1,48.1,1,14,continuous,continuous,,1,0,
2015,61.9,1,60.6,1,16,continuous,continuous,,1,0,
2015,63.4,1,67.4,1,11,continuous,continuous,,1,0,
2015,56,1,55.1,1,13,continuous,continuous,,1,0,
2015,62.7,1,58.6,1,3,continuous,continuous,,1,0,
2015,61.2,1,51.3,1,2,continuous,continuous,,1,0,
2015,68.6,1,67.7,1,9,continuous,continuous,,1,0,
2015,48.8,1,45.8,1,1,continuous,continuous,,1,0,
2015,53.7,1,52.7,1,9,continuous,continuous,,1,0,
2015,58.7,1,58.6,1,33,continuous,continuous,,1,0,
2015,54.9,1,56.5,1,32,continuous,continuous,,1,0,
2015,61.3,1,60.1,1,18,continuous,continuous,,1,0,
2015,60.9,1,58.1,1,31,continuous,continuous,,1,0,
2015,13.8,1,40,0,,continuous,continuous,,1,0,
2015,30,1,30,0,,continuous,continuous,,1,0,
2015,80.2,1,83.9,1,47,continuous,continuous,,1,0,
2015,67.6,1,68,1,30,continuous,continuous,,1,0,
2015,72.8,1,67.4,1,85,continuous,continuous,,1,0,
2015,71.3,1,66,1,36,continuous,continuous,,1,0,
