year,size,surv,sizeNext,fec0,fec1,stage,stageNext,offspringNext,number,cloning,clonesNext
2015,52.5,1,49.6,1,8,continuous,continuous,,1,,
2015,28,1,26.6,0,,continuous,continuous,,1,,
2015,24.5,1,22.9,0,,continuous,continuous,,1,,
2015,52.5,1,54.6,1,15,continuous,continuous,,1,,
2015,52.5,1,49.7,1,6,continuous,continuous,,1,,
2015,,,4.7,0,,,continuous,,1,,
2015,59.3,1,57.3,1,2,continuous,continuous,,1,,
2015,63,1,61.2,1,15,continuous,continuous,,1,,
2015,19.5,1,16.3,0,,continuous,continuous,,1,,
2015,22,1,17.2,0,,continuous,continuous,,1,,
2015,72.5,1,73,1,22,continuous,continuous,,1,,
2015,68,1,68.4,1,19,continuous,continuous,,1,,
2015,75,1,77,1,27,continuous,continuous,,1,,
2015,26.6,1,26.7,0,,continuous,continuous,,1,,
2015,55,1,55,1,22,continuous,continuous,,1,,
2015,53.5,1,53.5,1,18,continuous,continuous,,1,,
2015,63,1,60.5,1,9,continuous,continuous,,1,,
2015,78,1,76.1,1,32,continuous,continuous,,1,,
2015,48,1,46.4,1,4,continuous,continuous,,1,,
2015,57,1,55.7,1,19,continuous,continuous,,1,,
2015,55,1,48.8,1,6,continuous,continuous,,1,,
2015,68.5,1,66,1,17,continuous,continuous,,1,,
2015,80,1,78.9,1,28,continuous,continuous,,1,,
2015,78,1,76.5,1,32,continuous,continuous,,1,,
2015,64,1,64,1,30,continuous,continuous,,1,,
2015,52,1,52,1,15,continuous,continuous,,1,,
2015,50,1,50,1,12,continuous,continuous,,1,,
2015,60,1,60,1,13,continuous,continuous,,1,,
2015,52,1,52,1,13,continuous,continuous,,1,,
2015,47,1,47,1,20,continuous,continuous,,1,,
2015,41.5,1,41.5,1,7,continuous,continuous,,1,,
2015,50.5,1,50.5,1,8,continuous,continuous,,1,,
2015,56.5,1,56.5,1,11,continuous,continuous,,1,,
2015,74,1,73.1,1,26,continuous,continuous,,1,,
2015,59.3,1,59.3,1,16,continuous,continuous,,1,,
2015,40,1,40,0,,continuous,continuous,,1,,
2015,83,1,81.3,1,29,continuous,continuous,,1,,
2015,64,1,64,1,21,continuous,continuous,,1,,
2015,10.8,1,7,0,,continuous,continuous,,1,,
2015,70,1,70,1,17,continuous,continuous,,1,,
2015,67,1,62.2,1,25,continuous,continuous,,1,,
2015,60,1,67,1,19,continuous,continuous,,1,,
2015,55,1,55,1,18,continuous,continuous,,1,,
2015,50.5,1,51.6,0,,continuous,continuous,,1,,
2015,25,1,24,1,6,continuous,continuous,,1,,
2015,22,1,13.7,1,2,continuous,continuous,,1,,
2015,23,1,17.3,1,8,continuous,continuous,,1,,
2015,14.5,1,22.2,1,4,continuous,continuous,,1,,
2015,51.5,1,48.7,1,7,continuous,continuous,,1,,
2015,71,1,70.3,1,30,continuous,continuous,,1,,
2015,55.5,1,56.4,1,14,continuous,continuous,,1,,
2015,16.5,1,20.7,0,,continuous,continuous,,1,,
2015,70.8,1,70.1,1,26,continuous,continuous,,1,,
2015,65.1,1,64.3,1,22,continuous,continuous,,1,,
2015,70.7,1,69.6,1,1,continuous,continuous,,1,,
2015,34.2,1,33.3,1,31,continuous,continuous,,1,,
2015,66,1,54,1,9,continuous,continuous,,1,,
2015,61.3,1,60.3,1,21,continuous,continuous,,1,,
2015,84,1,85.4,1,21,continuous,continuous,,1,,
2015,82.5,1,82,1,23,continuous,continuous,,1,,
2015,49.8,1,50,1,17,continuous,continuous,,1,,
2015,72.7,1,71.4,1,22,continuous,continuous,,1,,
2015,83.1,1,81.6,1,21,continuous,continuous,,1,,
2015,50.2,1,50.7,1,13,continuous,continuous,,1,,
2015,40,1,39.8,0,,continuous,continuous,,1,,
2015,59.9,1,58.5,1,18,continuous,continuous,,1,,
2015,69.7,1,69.7,1,20,continuous,continuous,,1,,
2015,62.3,1,62.1,1,28,continuous,continuous,,1,,
2015,75,1,71.3,1,12,continuous,continuous,,1,,
2015,70,1,68.2,1,25,continuous,continuous,,1,,
2015,52.1,1,51.3,1,11,continuous,continuous,,1,,
2015,88.1,1,86.7,1,35,continuous,continuous,,1,,
2015,71,1,77.6,1,30,continuous,continuous,,1,,
2015,19,1,15.3,0,,continuous,continuous,,1,,
2015,66,1,67.1,1,23,continuous,continuous,,1,,
2015,65,1,67,1,20,continuous,continuous,,1,,
2015,55,1,58,1,7,continuous,continuous,,1,,
2015,40,1,37.4,0,,continuous,continuous,,1,,
2015,61,1,66,1,20,continuous,continuous,,1,,
2015,,,7.2,0,,,continuous,,1,,
2015,6.1,1,9.3,0,,continuous,continuous,,1,,
2015,68,1,67.1,1,18,continuous,continuous,,1,,
2015,72,1,71,1,17,continuous,continuous,,1,,
2015,73,1,76.4,1,23,continuous,continuous,,1,,
2015,56,1,57,1,15,continuous,continuous,,1,,
2015,68.5,1,68.7,1,19,continuous,continuous,,1,,
2015,73,1,70.6,1,17,continuous,continuous,,1,,
2015,67,1,66.7,1,17,continuous,continuous,,1,,
2015,73,1,67.1,1,20,continuous,continuous,,1,,
2015,67,1,64.8,1,19,continuous,continuous,,1,,
2015,59,1,59.3,1,12,continuous,continuous,,1,,
2015,83,1,81.7,1,27,continuous,continuous,,1,,
2015,83.5,1,81,1,40,continuous,continuous,,1,,
2015,64,1,66.2,1,20,continuous,continuous,,1,,
2015,50.5,1,50.5,1,7,continuous,continuous,,1,,
2015,46,1,46,1,6,continuous,continuous,,1,,
2015,26,1,26,1,2,continuous,continuous,,1,,
2015,58,1,57.5,1,18,continuous,continuous,,1,,
2015,68.4,1,64,1,14,continuous,continuous,,1,,
2015,52.7,1,51.9,1,18,continuous,continuous,,1,,
2015,86.5,1,93,1,19,continuous,continuous,,1,,
2015,56,1,57.5,1,13,continuous,continuous,,1,,
2015,49.7,1,48.5,1,16,continuous,continuous,,1,,
2015,52,1,53.8,1,19,continuous,continuous,,1,,
2015,50.5,1,49.7,1,1,continuous,continuous,,1,,
2015,75,1,74.1,1,34,continuous,continuous,,1,,
2015,84,1,87,1,30,continuous,continuous,,1,,
