year,size,surv,sizeNext,fec0,fec1,stage,stageNext,offspringNext,number,cloning,clonesNext
2014,67.8,1,71.8,1,20,continuous,continuous,,1,0,
2014,79.6,1,79.5,1,31,continuous,continuous,,1,0,
2014,79.2,1,83.2,1,17,continuous,continuous,,1,0,
2014,40.4,1,42,1,7,continuous,continuous,,1,0,
2014,15.2,1,10.4,0,,continuous,continuous,,1,0,
2014,53,1,53.6,1,12,continuous,continuous,,1,0,
2014,73.4,1,74,1,17,continuous,continuous,,1,0,
2014,39,1,40.3,1,2,continuous,continuous,,1,0,
2014,19.1,1,20.5,0,,continuous,continuous,,1,0,
2014,21.6,1,29,0,,continuous,continuous,,1,0,
2014,49.5,1,53.9,1,19,continuous,continuous,,1,0,
2014,42,1,45.3,1,5,continuous,continuous,,1,0,
2014,14.5,1,15.8,0,,continuous,continuous,,1,0,
2014,73.4,1,78,1,17,continuous,continuous,,1,0,
2014,22.1,1,21,0,,continuous,continuous,,1,0,
2014,20,1,26.7,0,,continuous,continuous,,1,0,
2014,16.6,1,16,0,,continuous,continuous,,1,0,
2014,15.8,1,15.8,0,,continuous,continuous,,1,0,
2014,39.1,1,46,1,1,continuous,continuous,,1,0,
2014,26,1,28.5,0,,continuous,continuous,,1,0,
2014,23,1,23,0,,continuous,continuous,,1,0,
2014,21.6,1,26,0,,continuous,continuous,,1,0,
2014,,,6.8,0,,,continuous,clonal,1,1,1
2014,12,1,14,0,,continuous,continuous,,1,0,
2014,64.1,1,67,1,14,continuous,continuous,,1,0,
2014,46.5,1,50.5,1,4,continuous,continuous,,1,0,
2014,14.3,1,14.3,0,,continuous,continuous,,1,0,
2014,55.6,1,58,1,20,continuous,continuous,,1,0,
2014,22.7,1,24.5,0,,continuous,continuous,,1,0,
2014,23.5,1,29,0,,continuous,continuous,,1,0,
2014,24.4,1,25.1,0,,continuous,continuous,,1,0,
2014,54,1,56,1,13,continuous,continuous,,1,0,
2014,33.3,1,37,0,,continuous,continuous,,1,0,
2014,47.3,1,54.6,1,5,continuous,continuous,,1,0,
2014,63.2,1,67,1,5,continuous,continuous,,1,0,
2014,84.66,1,82,1,34,continuous,continuous,,1,0,
2014,,,9,0,,,continuous,clonal,1,1,1
2014,,,9,0,,,continuous,clonal,1,1,1
2014,10,1,14,0,,continuous,continuous,,1,0,
2014,5,1,10.2,0,,continuous,continuous,,1,0,
2014,50.3,1,55,1,17,continuous,continuous,,1,0,
2014,29.1,1,29.3,0,,continuous,continuous,,1,0,
