year,size,surv,sizeNext,fec0,fec1,stage,stageNext,offspringNext,number,cloning,clonesNext
2015,48,1,46,1,6,continuous,continuous,,1,,
2015,57,1,56.1,1,10,continuous,continuous,,1,,
2015,28.7,1,26.3,0,,continuous,continuous,,1,,
2015,25,1,22.5,0,,continuous,continuous,,1,,
2015,42,1,40.6,1,5,continuous,continuous,,1,,
2015,55,1,54.5,1,13,continuous,continuous,,1,,
2015,56.9,1,58.1,1,19,continuous,continuous,,1,,
2015,54,1,52.3,1,18,continuous,continuous,,1,,
2015,68.5,1,57.2,1,16,continuous,continuous,,1,,
2015,60.7,1,60.7,1,23,continuous,continuous,,1,,
2015,47.7,1,46.6,1,7,continuous,continuous,,1,,
2015,66.4,1,64.5,1,11,continuous,continuous,,1,,
2015,55,1,52,1,10,continuous,continuous,,1,,
2015,49.6,1,48.9,1,8,continuous,continuous,,1,,
2015,50,1,51,1,5,continuous,continuous,,1,,
2015,51,1,47.7,1,10,continuous,continuous,,1,,
2015,49,1,43,1,5,continuous,continuous,,1,,
2015,47,1,44.1,1,4,continuous,continuous,,1,,
2015,45,1,44.6,1,3,continuous,continuous,,1,,
2015,40,1,36.1,0,,continuous,continuous,,1,,
2015,44,1,41.2,0,,continuous,continuous,,1,,
2015,42,1,39.5,1,1,continuous,continuous,,1,,
2015,55,1,52.5,1,12,continuous,continuous,,1,,
2015,60,1,60,1,11,continuous,continuous,,1,,
2015,49.5,1,45.7,1,16,continuous,continuous,,1,,
2015,8,1,7,0,,continuous,continuous,,1,,
2015,48,1,45.8,1,4,continuous,continuous,,1,,
2015,54,0,,1,7,continuous,dead,,1,,
2015,49.3,1,46.7,1,4,continuous,continuous,,1,,
2015,57,1,51.6,1,10,continuous,continuous,,1,,
2015,50,1,47.8,1,3,continuous,continuous,,1,,
2015,43,1,39.4,0,,continuous,continuous,,1,,
2015,64.1,1,61.7,1,17,continuous,continuous,,1,,
2015,78,1,76.2,1,27,continuous,continuous,,1,,
2015,60.6,1,61.2,1,10,continuous,continuous,,1,,
2015,67,1,72,1,19,continuous,continuous,,1,,
2015,71,1,68.3,1,17,continuous,continuous,,1,,
2015,77,1,75.5,1,21,continuous,continuous,,1,,
2015,61,1,59.6,1,10,continuous,continuous,,1,,
2015,53.7,1,53.6,1,8,continuous,continuous,,1,,
2015,64,1,62.2,1,9,continuous,continuous,,1,,
2015,60,1,59.3,1,5,continuous,continuous,,1,,
2015,57,1,55.7,1,12,continuous,continuous,,1,,
2015,61,1,59.2,1,4,continuous,continuous,,1,,
2015,63,1,61.5,1,5,continuous,continuous,,1,,
2015,28,1,28,0,,continuous,continuous,,1,,
2015,30,1,30,0,,continuous,continuous,,1,,
2015,47.4,1,45.5,1,3,continuous,continuous,,1,,
2015,56.4,1,54.6,1,5,continuous,continuous,,1,,
2015,38,1,38,0,,continuous,continuous,,1,,
2015,72.3,1,54.2,1,12,continuous,continuous,,1,,
2015,55,1,55,1,10,continuous,continuous,,1,,
2015,44.4,1,42.3,1,2,continuous,continuous,,1,,
2015,55,1,53.5,1,7,continuous,continuous,,1,,
2015,53,1,49.8,1,4,continuous,continuous,,1,,
2015,38.6,1,36,0,,continuous,continuous,,1,,
2015,37.5,1,35.2,0,,continuous,continuous,,1,,
2015,40,1,35.5,0,,continuous,continuous,,1,,
2015,44,1,39.2,0,,continuous,continuous,,1,,
2015,57,1,63.3,1,13,continuous,continuous,,1,,
2015,34.5,1,32.5,0,,continuous,continuous,,1,,
2015,64.5,1,62.3,1,13,continuous,continuous,,1,,
2015,23.4,1,21,0,,continuous,continuous,,1,,
2015,41.4,1,39.4,1,5,continuous,continuous,,1,,
2015,6.3,1,11.2,0,,continuous,continuous,,1,,
2015,38.1,1,36.3,1,1,continuous,continuous,,1,,
2015,24.4,1,21.8,0,,continuous,continuous,,1,,
2015,62.5,1,59,1,13,continuous,continuous,,1,,
2015,57.7,1,55.4,1,6,continuous,continuous,,1,,
2015,54.7,1,49.3,1,10,continuous,continuous,,1,,
2015,51,1,51.1,1,10,continuous,continuous,,1,,
2015,53,1,49.3,1,7,continuous,continuous,,1,,
2015,31.7,1,32.4,1,4,continuous,continuous,,1,,
2015,31.2,1,28.7,0,,continuous,continuous,,1,,
2015,22.5,1,21,0,,continuous,continuous,,1,,
2015,17.5,1,16.3,0,,continuous,continuous,,1,,
2015,14.9,1,16.3,0,,continuous,continuous,,1,,
2015,14.4,1,16.2,0,,continuous,continuous,,1,,
2015,16.5,1,13.5,0,,continuous,continuous,,1,,
2015,14,1,14.5,0,,continuous,continuous,,1,,
2015,56.7,1,53.8,1,7,continuous,continuous,,1,,
2015,19,1,17,0,,continuous,continuous,,1,,
2015,63.5,1,59.7,1,7,continuous,continuous,,1,,
2015,59.1,1,58.3,1,11,continuous,continuous,,1,,
2015,31.7,1,30.2,0,,continuous,continuous,,1,,
2015,40.1,1,42.3,0,,continuous,continuous,,1,,
